"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0034116"	"GO:0034116"	"positive regulation of heterotypic cell-cell adhesion"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"FGA"	1
"GO:0034384"	"GO:0034384"	"high-density lipoprotein particle clearance"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"APOE"	1
"GO:0035641"	"GO:0035641"	"locomotory exploration behavior"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"APOE"	1
"GO:0090205"	"GO:0090205"	"positive regulation of cholesterol metabolic process"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"APOE"	1
"GO:2001138"	"GO:2001138"	"regulation of phospholipid transport"	"1/11"	"15/18903"	0.00869651445659114	0.0281549655532138	0.0119577073778128	"APOE"	1
"GO:0016485"	"GO:0016485"	"protein processing"	"2/11"	"250/18903"	0.00885666645921724	0.0284953616513946	0.0121022771492409	"HP/FGA"	2
"GO:0034374"	"GO:0034374"	"low-density lipoprotein particle remodeling"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:0042159"	"GO:0042159"	"lipoprotein catabolic process"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:0051044"	"GO:0051044"	"positive regulation of membrane protein ectodomain proteolysis"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:0072578"	"GO:0072578"	"neurotransmitter-gated ion channel clustering"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:1902931"	"GO:1902931"	"negative regulation of alcohol biosynthetic process"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:1905906"	"GO:1905906"	"regulation of amyloid fibril formation"	"1/11"	"16/18903"	0.00927383012479166	0.0287655329619286	0.0122170217212824	"APOE"	1
"GO:0006898"	"GO:0006898"	"receptor-mediated endocytosis"	"2/11"	"257/18903"	0.00933983131731185	0.0287978132283782	0.012230731486956	"APOA5/APOE"	2
"GO:0033194"	"GO:0033194"	"response to hydroperoxide"	"1/11"	"17/18903"	0.00985084012471904	0.0300160893212027	0.0127481460437541	"APOA4"	1
"GO:0055089"	"GO:0055089"	"fatty acid homeostasis"	"1/11"	"17/18903"	0.00985084012471904	0.0300160893212027	0.0127481460437541	"APOE"	1
"GO:0003018"	"GO:0003018"	"vascular process in circulatory system"	"2/11"	"270/18903"	0.0102680954346433	0.0311045230125452	0.0132104151790733	"APOE/FGA"	2
"GO:0031348"	"GO:0031348"	"negative regulation of defense response"	"2/11"	"272/18903"	0.0104144501280884	0.0312223589818221	0.013260461343631	"SAA1/APOE"	2
"GO:0043117"	"GO:0043117"	"positive regulation of vascular permeability"	"1/11"	"18/18903"	0.0104275446020371	0.0312223589818221	0.013260461343631	"APOE"	1
"GO:0010544"	"GO:0010544"	"negative regulation of platelet activation"	"1/11"	"19/18903"	0.0110039437023483	0.0327588668840023	0.0139130322673369	"APOE"	1
"GO:0010310"	"GO:0010310"	"regulation of hydrogen peroxide metabolic process"	"1/11"	"20/18903"	0.0115800375711935	0.0338896014795381	0.0143932670376417	"HP"	1
"GO:0044794"	"GO:0044794"	"positive regulation by host of viral process"	"1/11"	"20/18903"	0.0115800375711935	0.0338896014795381	0.0143932670376417	"APOE"	1
"GO:1900221"	"GO:1900221"	"regulation of amyloid-beta clearance"	"1/11"	"20/18903"	0.0115800375711935	0.0338896014795381	0.0143932670376417	"APOE"	1
"GO:0097062"	"GO:0097062"	"dendritic spine maintenance"	"1/11"	"21/18903"	0.012155826354052	0.0353748205134771	0.0150240550443339	"APOE"	1
"GO:0007398"	"GO:0007398"	"ectoderm development"	"1/11"	"22/18903"	0.0127313101963413	0.0366378815650267	0.0155604902399727	"KRT6B"	1
"GO:0051000"	"GO:0051000"	"positive regulation of nitric-oxide synthase activity"	"1/11"	"22/18903"	0.0127313101963413	0.0366378815650267	0.0155604902399727	"APOE"	1
"GO:0044403"	"GO:0044403"	"biological process involved in symbiotic interaction"	"2/11"	"307/18903"	0.0131260281203419	0.0374606599352725	0.0159099327910424	"APOL1/APOE"	2
"GO:0019430"	"GO:0019430"	"removal of superoxide radicals"	"1/11"	"23/18903"	0.0133064892434173	0.0374606599352725	0.0159099327910424	"APOA4"	1
"GO:0045540"	"GO:0045540"	"regulation of cholesterol biosynthetic process"	"1/11"	"23/18903"	0.0133064892434173	0.0374606599352725	0.0159099327910424	"APOE"	1
"GO:0106118"	"GO:0106118"	"regulation of sterol biosynthetic process"	"1/11"	"23/18903"	0.0133064892434173	0.0374606599352725	0.0159099327910424	"APOE"	1
"GO:0006650"	"GO:0006650"	"glycerophospholipid metabolic process"	"2/11"	"311/18903"	0.0134537777172388	0.0376705776082686	0.0159990870150948	"APOA5/APOA4"	2
"GO:0070372"	"GO:0070372"	"regulation of ERK1 and ERK2 cascade"	"2/11"	"315/18903"	0.0137851345229924	0.0383908585102691	0.0163049978228942	"APOE/FGA"	2
"GO:0051043"	"GO:0051043"	"regulation of membrane protein ectodomain proteolysis"	"1/11"	"24/18903"	0.0138813636405746	0.0384521196033028	0.0163310160477348	"APOE"	1
"GO:0034114"	"GO:0034114"	"regulation of heterotypic cell-cell adhesion"	"1/11"	"25/18903"	0.0144559335330449	0.0394114398427223	0.0167384493540519	"FGA"	1
"GO:0071450"	"GO:0071450"	"cellular response to oxygen radical"	"1/11"	"25/18903"	0.0144559335330449	0.0394114398427223	0.0167384493540519	"APOA4"	1
"GO:0071451"	"GO:0071451"	"cellular response to superoxide"	"1/11"	"25/18903"	0.0144559335330449	0.0394114398427223	0.0167384493540519	"APOA4"	1
"GO:0046394"	"GO:0046394"	"carboxylic acid biosynthetic process"	"2/11"	"326/18903"	0.0147148404329253	0.0399072635824884	0.0169490308651495	"APOA5/APOA4"	2
"GO:0016053"	"GO:0016053"	"organic acid biosynthetic process"	"2/11"	"328/18903"	0.0148867714761725	0.0401632688784238	0.0170577589831143	"APOA5/APOA4"	2
"GO:0006706"	"GO:0006706"	"steroid catabolic process"	"1/11"	"26/18903"	0.0150301990660004	0.040340119772996	0.0171328694016585	"APOE"	1
"GO:0010875"	"GO:0010875"	"positive regulation of cholesterol efflux"	"1/11"	"27/18903"	0.0156041603845511	0.0412395667305995	0.0175148739010268	"APOE"	1
"GO:0031639"	"GO:0031639"	"plasminogen activation"	"1/11"	"27/18903"	0.0156041603845511	0.0412395667305995	0.0175148739010268	"FGA"	1
"GO:0042730"	"GO:0042730"	"fibrinolysis"	"1/11"	"27/18903"	0.0156041603845511	0.0412395667305995	0.0175148739010268	"FGA"	1
"GO:0070371"	"GO:0070371"	"ERK1 and ERK2 cascade"	"2/11"	"340/18903"	0.0159368888311579	0.0414856907637595	0.0176194053436816	"APOE/FGA"	2
"GO:0000303"	"GO:0000303"	"response to superoxide"	"1/11"	"28/18903"	0.016177817633744	0.0414856907637595	0.0176194053436816	"APOA4"	1
"GO:0002227"	"GO:0002227"	"innate immune response in mucosa"	"1/11"	"28/18903"	0.016177817633744	0.0414856907637595	0.0176194053436816	"APOA4"	1
"GO:0010894"	"GO:0010894"	"negative regulation of steroid biosynthetic process"	"1/11"	"28/18903"	0.016177817633744	0.0414856907637595	0.0176194053436816	"APOE"	1
"GO:0032801"	"GO:0032801"	"receptor catabolic process"	"1/11"	"28/18903"	0.016177817633744	0.0414856907637595	0.0176194053436816	"APOE"	1
"GO:0035640"	"GO:0035640"	"exploration behavior"	"1/11"	"28/18903"	0.016177817633744	0.0414856907637595	0.0176194053436816	"APOE"	1
"GO:0000305"	"GO:0000305"	"response to oxygen radical"	"1/11"	"29/18903"	0.0167511709585667	0.0421218764880464	0.0178896000528382	"APOA4"	1
"GO:0007263"	"GO:0007263"	"nitric oxide mediated signal transduction"	"1/11"	"29/18903"	0.0167511709585667	0.0421218764880464	0.0178896000528382	"APOE"	1
"GO:0051873"	"GO:0051873"	"killing by host of symbiont cells"	"1/11"	"29/18903"	0.0167511709585667	0.0421218764880464	0.0178896000528382	"APOL1"	1
"GO:1902430"	"GO:1902430"	"negative regulation of amyloid-beta formation"	"1/11"	"29/18903"	0.0167511709585667	0.0421218764880464	0.0178896000528382	"APOE"	1
"GO:0007271"	"GO:0007271"	"synaptic transmission, cholinergic"	"1/11"	"30/18903"	0.017324220503944	0.0433523972031062	0.0184122150283463	"APOE"	1
"GO:0045939"	"GO:0045939"	"negative regulation of steroid metabolic process"	"1/11"	"31/18903"	0.0178969664147399	0.0443570746547143	0.0188389120155157	"APOE"	1
"GO:1902042"	"GO:1902042"	"negative regulation of extrinsic apoptotic signaling pathway via death domain receptors"	"1/11"	"31/18903"	0.0178969664147399	0.0443570746547143	0.0188389120155157	"FGA"	1
"GO:0032770"	"GO:0032770"	"positive regulation of monooxygenase activity"	"1/11"	"32/18903"	0.0184694088357578	0.0455578751282025	0.0193489044946034	"APOE"	1
"GO:0045907"	"GO:0045907"	"positive regulation of vasoconstriction"	"1/11"	"33/18903"	0.019041547911737	0.0465260463126403	0.0197600968895384	"FGA"	1
"GO:1902992"	"GO:1902992"	"negative regulation of amyloid precursor protein catabolic process"	"1/11"	"33/18903"	0.019041547911737	0.0465260463126403	0.0197600968895384	"APOE"	1
"GO:0002021"	"GO:0002021"	"response to dietary excess"	"1/11"	"34/18903"	0.0196133837873586	0.0474753869245408	0.0201632917440135	"APOE"	1
"GO:0055094"	"GO:0055094"	"response to lipoprotein particle"	"1/11"	"34/18903"	0.0196133837873586	0.0474753869245408	0.0201632917440135	"APOE"	1
"GO:0042742"	"GO:0042742"	"defense response to bacterium"	"2/11"	"382/18903"	0.0198575039095637	0.0478427303495534	0.0203193063260651	"HP/FGA"	2
"GO:0051354"	"GO:0051354"	"negative regulation of oxidoreductase activity"	"1/11"	"35/18903"	0.0201849166072398	0.0481833493205078	0.0204639707538836	"HP"	1
"GO:2000352"	"GO:2000352"	"negative regulation of endothelial cell apoptotic process"	"1/11"	"35/18903"	0.0201849166072398	0.0481833493205078	0.0204639707538836	"FGA"	1
"GO:0006644"	"GO:0006644"	"phospholipid metabolic process"	"2/11"	"389/18903"	0.0205472137009973	0.0486501533721976	0.0206622273009334	"APOA5/APOA4"	2
"GO:0007616"	"GO:0007616"	"long-term memory"	"1/11"	"36/18903"	0.0207561465159376	0.0486501533721976	0.0206622273009334	"APOE"	1
"GO:0019068"	"GO:0019068"	"virion assembly"	"1/11"	"36/18903"	0.0207561465159376	0.0486501533721976	0.0206622273009334	"APOE"	1
"GO:0019934"	"GO:0019934"	"cGMP-mediated signaling"	"1/11"	"36/18903"	0.0207561465159376	0.0486501533721976	0.0206622273009334	"APOE"	1
"GO:0001662"	"GO:0001662"	"behavioral fear response"	"1/11"	"37/18903"	0.0213270736579487	0.0490996629102997	0.0208531386877721	"APOE"	1
"GO:0001941"	"GO:0001941"	"postsynaptic membrane organization"	"1/11"	"37/18903"	0.0213270736579487	0.0490996629102997	0.0208531386877721	"APOE"	1
"GO:0060999"	"GO:0060999"	"positive regulation of dendritic spine development"	"1/11"	"37/18903"	0.0213270736579487	0.0490996629102997	0.0208531386877721	"APOE"	1
"GO:0071402"	"GO:0071402"	"cellular response to lipoprotein particle stimulus"	"1/11"	"37/18903"	0.0213270736579487	0.0490996629102997	0.0208531386877721	"APOE"	1
"GO:0006631"	"GO:0006631"	"fatty acid metabolic process"	"2/11"	"400/18903"	0.0216515287817015	0.0496260703934575	0.0210767094335148	"APOA5/APOA4"	2
"GO:0002209"	"GO:0002209"	"behavioral defense response"	"1/11"	"38/18903"	0.0218976981777071	0.0499691967226974	0.0212224387625356	"APOE"	1
